cell_id,lat_deg,lon_w_deg,hemisphere,is_valid,range_id,e_min_mev,e_max_mev
0,87,6,leading,0,-1,101,100
1,87,18,leading,0,-1,101,100
2,87,30,leading,0,-1,101,100
3,87,42,leading,0,-1,101,100
4,87,54,leading,0,-1,101,100
5,87,66,leading,0,-1,101,100
6,87,78,leading,0,-1,101,100
7,87,90,leading,0,-1,101,100
8,87,102,leading,0,-1,101,100
9,87,114,leading,0,-1,101,100
10,87,126,leading,0,-1,101,100
11,87,138,leading,0,-1,101,100
12,87,150,leading,0,-1,101,100
13,87,162,leading,0,-1,101,100
14,87,174,leading,0,-1,101,100
15,87,186,trailing,0,-1,0,0
16,87,198,trailing,0,-1,0,0
17,87,210,trailing,0,-1,0,0
18,87,222,trailing,0,-1,0,0
19,87,234,trailing,0,-1,0,0
20,87,246,trailing,0,-1,0,0
21,87,258,trailing,0,-1,0,0
22,87,270,trailing,0,-1,0,0
23,87,282,trailing,0,-1,0,0
24,87,294,trailing,0,-1,0,0
25,87,306,trailing,0,-1,0,0
26,87,318,trailing,0,-1,0,0
27,87,330,trailing,0,-1,0,0
28,87,342,trailing,0,-1,0,0
29,87,354,trailing,0,-1,0,0
30,81,6,leading,0,-1,101,100
31,81,18,leading,0,-1,101,100
32,81,30,leading,0,-1,101,100
33,81,42,leading,0,-1,101,100
34,81,54,leading,0,-1,101,100
35,81,66,leading,0,-1,101,100
36,81,78,leading,0,-1,101,100
37,81,90,leading,0,-1,101,100
38,81,102,leading,0,-1,101,100
39,81,114,leading,0,-1,101,100
40,81,126,leading,0,-1,101,100
41,81,138,leading,0,-1,101,100
42,81,150,leading,0,-1,101,100
43,81,162,leading,0,-1,101,100
44,81,174,leading,0,-1,101,100
45,81,186,trailing,0,-1,0,0
46,81,198,trailing,0,-1,0,0
47,81,210,trailing,0,-1,0,0
48,81,222,trailing,1,3,0.00349801846,0.00454165891
49,81,234,trailing,1,2,0.00335988614,0.00477777309
50,81,246,trailing,1,1,0.00316860331,0.0102330478
51,81,258,trailing,1,0,0.00290113671,0.0104233904
52,81,270,trailing,1,21,0.00475581026,0.0105198853
53,81,282,trailing,1,0,0.00290113671,0.0104233904
54,81,294,trailing,1,1,0.00316860331,0.0102330478
55,81,306,trailing,1,2,0.00335988614,0.00477777309
56,81,318,trailing,1,3,0.00349801846,0.00454165891
57,81,330,trailing,0,-1,0,0
58,81,342,trailing,0,-1,0,0
59,81,354,trailing,0,-1,0,0
60,75,6,leading,0,-1,101,100
61,75,18,leading,0,-1,101,100
62,75,30,leading,0,-1,101,100
63,75,42,leading,0,-1,101,100
64,75,54,leading,0,-1,101,100
65,75,66,leading,0,-1,101,100
66,75,78,leading,0,-1,101,100
