energy_index,E_center_MeV,sim_particles,event_count,status,budget_mode,primary_energy_MeV_sum,deposited_energy_MeV_sum,backscatter_energy_MeV_sum,escaped_forward_energy_MeV_sum,escaped_lateral_energy_MeV_sum,escaped_electron_energy_MeV_sum,escaped_photon_energy_MeV_sum,backscatter_electron_energy_MeV_sum,backscatter_photon_energy_MeV_sum,escaped_forward_electron_energy_MeV_sum,escaped_forward_photon_energy_MeV_sum,escaped_lateral_electron_energy_MeV_sum,escaped_lateral_photon_energy_MeV_sum,deflected_energy_MeV_sum,deposited_fraction,backscatter_fraction,escaped_forward_fraction,escaped_lateral_fraction,deflected_fraction,mean_primary_penetration_cm,mean_secondary_penetration_cm,mean_secondary_ke_mev
0,0.0100577306,10000,10000,ok_event_tree,event_tree,100.577,85.9852805,14.5917195,0,0,14.5917195,0,14.5917195,0,0,0,0,0,14.5917195,0.854919917,0.145080083,0,0,0.145080083,0.000228566289,0.000230937912,1.0085991e-05
1,0.0101741937,10000,10000,ok_event_tree,event_tree,101.742,87.508816,14.233184,0,0,14.233184,0,14.233184,0,0,0,0,0,14.233184,0.860105129,0.139894871,0,0,0.139894871,0.000234373995,0.0002369819,1.01354466e-05
2,0.0102920053,10000,10000,ok_event_tree,event_tree,102.92,87.9312617,14.9887383,0,0,14.9887383,0,14.9887383,0,0,0,0,0,14.9887383,0.854365155,0.145634845,0,0,0.145634845,0.000238132284,0.000240810871,1.00835448e-05
3,0.0104111811,10000,10000,ok_event_tree,event_tree,104.112,90.979776,13.132224,0,0,13.132224,0,13.132224,0,0,0,0,0,13.132224,0.873864454,0.126135546,0,0,0.126135546,0.000246081476,0.000247997121,1.02314649e-05
4,0.0105317369,10000,10000,ok_event_tree,event_tree,105.317,90.2933977,15.0236023,0,0,15.0236023,0,15.0236023,0,0,0,0,0,15.0236023,0.857348744,0.142651256,0,0,0.142651256,0.000247896171,0.000250131219,1.00762521e-05
5,0.0106536886,10000,10000,ok_event_tree,event_tree,106.537,91.6283505,14.9086495,0,0,14.9086495,0,14.9086495,0,0,0,0,0,14.9086495,0.860061298,0.139938702,0,0,0.139938702,0.000249009023,0.0002512222,1.03331475e-05
6,0.0107770525,10000,10000,ok_event_tree,event_tree,107.771,92.9528186,14.8181814,0,0,14.8181814,0,14.8181814,0,0,0,0,0,14.8181814,0.862503072,0.137496928,0,0,0.137496928,0.000259764733,0.000261787706,1.02049804e-05
7,0.0109018449,10000,10000,ok_event_tree,event_tree,109.018,91.7331287,17.2848713,0,0,17.2848713,0,17.2848713,0,0,0,0,0,17.2848713,0.841449382,0.158550618,0,0,0.158550618,0.00025350294,0.000256071014,1.03434238e-05
8,0.0110280823,10000,10000,ok_event_tree,event_tree,110.281,95.0477061,15.2332939,0,0,15.2332939,0,15.2332939,0,0,0,0,0,15.2332939,0.861868373,0.138131627,0,0,0.138131627,0.000270251823,0.000271979585,1.01362243e-05
9,0.0111557815,10000,10000,ok_event_tree,event_tree,111.558,95.8514362,15.7065638,0,0,15.7065638,0,15.7065638,0,0,0,0,0,15.7065638,0.859207194,0.140792806,0,0,0.140792806,0.000271079018,0.000272941075,1.04029463e-05
