energy_index,E_center_MeV,sim_particles,n_root_files,status,budget_mode,event_count,primary_energy_eV_sum,deposited_energy_eV_sum,backscatter_energy_eV_sum,escaped_forward_energy_eV_sum,escaped_lateral_energy_eV_sum,escaped_electron_energy_eV_sum,escaped_photon_energy_eV_sum,backscatter_electron_energy_eV_sum,backscatter_photon_energy_eV_sum,escaped_forward_electron_energy_eV_sum,escaped_forward_photon_energy_eV_sum,escaped_lateral_electron_energy_eV_sum,escaped_lateral_photon_energy_eV_sum,primary_pen_sum_cm,primary_pen_sumsq_cm2,primary_pen_count,secondary_pen_sum_cm,secondary_pen_sumsq_cm2,secondary_pen_count,secondary_ke_sum_eV,secondary_ke_sumsq_eV2,secondary_ke_count,error
0,0.0100577306,10000,100,ok_event_tree,event_tree,10000,100576999.99999999,85985280.47868481,14591719.521314856,0.0,0.0,14591719.521314856,0.0,14591719.521314856,0.0,0.0,0.0,0.0,0.0,2.2856628850511975,0.0007081120809664796,10000,2.3045294281493054,0.0007130654442515823,9979,971519199.4773157,427485440497.43396,96323623,
1,0.0101741937,10000,100,ok_event_tree,event_tree,10000,101741999.99999999,87508815.99342443,14233184.006575154,0.0,0.0,14233184.006575154,0.0,14233184.006575154,0.0,0.0,0.0,0.0,0.0,2.3437399518140185,0.0007396354832172388,10000,2.365553325681484,0.0007459827309156963,9982,995676968.548855,449404407573.84894,98237109,
2,0.0102920053,10000,100,ok_event_tree,event_tree,10000,102920000.00000001,87931261.73123473,14988738.268764857,0.0,0.0,14988738.268764857,0.0,14988738.268764857,0.0,0.0,0.0,0.0,0.0,2.381322841957827,0.0007751833851712303,10000,2.4006435748094654,0.0007806161582544221,9969,995051958.2228029,436307863710.34906,98680769,
3,0.0104111811,10000,100,ok_event_tree,event_tree,10000,104111999.99999999,90979776.04065669,13132223.959342841,0.0,0.0,13132223.959342841,0.0,13132223.959342841,0.0,0.0,0.0,0.0,0.0,2.460814761930338,0.0008152837978791941,10000,2.476499250944491,0.000819339090080107,9986,1043394779.1300051,487481455248.2245,101979022,
4,0.0105317369,10000,100,ok_event_tree,event_tree,10000,105317000.0,90293397.70858763,15023602.291411912,0.0,0.0,15023602.291411912,0.0,15023602.291411912,0.0,0.0,0.0,0.0,0.0,2.4789617065473486,0.0008361385626198521,10000,2.4975602253701297,0.0008416824177091142,9985,1017637788.2926192,448819049611.81775,100993681,
5,0.0106536886,10000,100,ok_event_tree,event_tree,10000,106536999.99999999,91628350.52203122,14908649.477968285,0.0,0.0,14908649.477968285,0.0,14908649.477968285,0.0,0.0,0.0,0.0,0.0,2.4900902297188194,0.0008360819200908587,10000,2.5084536627993783,0.0008419153500180609,9985,1061380351.0739453,508386201704.806,102716075,
6,0.0107770525,10000,100,ok_event_tree,event_tree,10000,107771000.00000001,92952818.55870983,14818181.441289674,0.0,0.0,14818181.441289674,0.0,14818181.441289674,0.0,0.0,0.0,0.0,0.0,2.597647331158138,0.0009085698765394524,10000,2.613426665538834,0.0009130802106315009,9983,1062735146.3425826,491313226674.1464,104138872,
7,0.0109018449,10000,100,ok_event_tree,event_tree,10000,109018000.00000001,91733128.73185991,17284871.268139657,0.0,0.0,17284871.268139657,0.0,17284871.268139657,0.0,0.0,0.0,0.0,0.0,2.5350294008349485,0.0008885839566535074,10000,2.554820504073232,0.0008939278825800782,9977,1065215621.9574999,520265317210.5302,102984818,
8,0.0110280823,10000,100,ok_event_tree,event_tree,10000,110281000.00000001,95047706.05194871,15233293.948050769,0.0,0.0,15233293.948050769,0.0,15233293.948050769,0.0,0.0,0.0,0.0,0.0,2.7025182286473015,0.0009868424711701694,10000,2.7173480357476043,0.00099154034631111,9991,1077743240.9181607,489441111635.627,106325907,
9,0.0111557815,10000,100,ok_event_tree,event_tree,10000,111558000.00000001,95851436.1617604,15706563.838239092,0.0,0.0,15706563.838239092,0.0,15706563.838239092,0.0,0.0,0.0,0.0,0.0,2.710790177153863,0.000995548382751481,10000,2.728318984829171,0.0010000339743235114,9996,1115376557.6375034,549734419257.15674,107217371,
