range_id,e_min_mev,e_max_mev,n_cells,used_energies,missing_energies,dose_depth_cm,dose_at_depth_mgy_per_yr,mean_primary_penetration_cm,mean_secondary_ke_mev,mean_secondary_penetration_cm,deposited_fraction,backscatter_fraction,lateral_escape_fraction,forward_escape_fraction,escaped_electron_fraction,escaped_photon_fraction,nondeposited_escaped_electron_fraction,nondeposited_escaped_photon_fraction,nondeposited_unresolved_fraction,backscatter_electron_fraction,backscatter_photon_fraction,lateral_escape_electron_fraction,lateral_escape_photon_fraction,backscatter_flux_mev_cm2_s,lateral_escape_flux_mev_cm2_s,forward_escape_flux_mev_cm2_s,escaped_electron_flux_mev_cm2_s,escaped_photon_flux_mev_cm2_s,backscatter_electron_flux_mev_cm2_s,backscatter_photon_flux_mev_cm2_s,lateral_escape_electron_flux_mev_cm2_s,lateral_escape_photon_flux_mev_cm2_s,jde_flux_cm2_s,jde_energy_flux_model_mev_cm2_s,deflected_fraction,deflected_flux_mev_cm2_s
0,0.00290113671,0.0104233904,4,4,0,0.00995,0,0.000235716037,1.01239014e-05,0.000238163117,0.859387633,0.140612367,0,0,0.140612367,0,1,0,2.62472033e-14,0.140612367,0,0,0,11226.9593,0,0,11226.9593,0,11226.9593,0,0,0,7817658.77,79843.3683,0.140612367,11226.9593
1,0.00316860331,0.0102330478,4,3,0,0.00995,0,0.000231463629,1.01108649e-05,0.000233953088,0.857517127,0.142482873,0,0,0.142482873,0,1,0,2.59960114e-14,0.142482873,0,0,0,6297.46787,0,0,6297.46787,0,6297.46787,0,0,0,4369194.06,44198.1224,0.142482873,6297.46787
2,0.00335988614,0.00477777309,4,0,0,0.00995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0
3,0.00349801846,0.00454165891,4,0,0,0.00995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0
4,0.00352535997,0.0135539548,4,27,0,0.00995,0,0.000295589464,1.05137516e-05,0.000297596355,0.858586077,0.141413783,0,0,0.141413783,0,0.999999005,0,9.94761815e-07,0.141413783,0,0,0,87491.5251,0,0,87491.5251,0,87491.5251,0,0,0,53175638.5,618691.528,0.141413923,87491.6121
5,0.00367589245,0.0104833928,4,5,0,0.00995,0,0.000237008275,1.01334461e-05,0.000239398983,0.860758023,0.139241977,0,0,0.139241977,0,1,0,2.77007724e-14,0.139241977,0,0,0,12673.4717,0,0,12673.4717,0,12673.4717,0,0,0,8888488.36,91017.6402,0.139241977,12673.4717
6,0.00375,0.00378471576,4,0,0,0.00995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0
7,0.00378006392,0.0130634543,4,24,0,0.00995,0,0.000285679888,1.04617119e-05,0.000287759024,0.858465798,0.141534168,0,0,0.141534168,0,0.99999976,0,2.4009643e-07,0.141534168,0,0,0,76357.9146,0,0,76357.9146,0,76357.9146,0,0,0,47225054.9,539501.568,0.141534202,76357.9329
8,0.00386038415,0.0104715267,4,5,0,0.00995,0,0.000236746486,1.01348519e-05,0.000239140937,0.860842389,0.139157611,0,0,0.139157611,0,1,0,2.81091303e-14,0.139157611,0,0,0,12359.9333,0,0,12359.9333,0,12359.9333,0,0,0,8679791.15,88819.696,0.139157611,12359.9333
9,0.00388983446,0.0122473565,4,18,0,0.00995,0,0.000270052108,1.03358348e-05,0.000272207181,0.858727745,0.141272255,0,0,0.141272255,0,1,0,3.16347493e-14,0.141272255,0,0,0,57039.7278,0,0,57039.7278,0,57039.7278,0,0,0,36492020.3,403757.511,0.141272255,57039.7278
