range_id,e_min_mev,e_max_mev,n_cells,n_energies,cell_ids
0,0.00290113671,0.0104233904,4,4,51|53|861|863
1,0.00316860331,0.0102330478,4,3,50|54|860|864
2,0.00335988614,0.00477777309,4,0,49|55|859|865
3,0.00349801846,0.00454165891,4,0,48|56|858|866
4,0.00352535997,0.0135539548,4,27,81|83|831|833
5,0.00367589245,0.0104833928,4,5,135|149|765|779
6,0.00375,0.00378471576,4,0,76|88|826|838
7,0.00378006392,0.0130634543,4,24,80|84|830|834
8,0.00386038415,0.0104715267,4,5,77|87|827|837
9,0.00388983446,0.0122473565,4,18,165|179|735|749
10,0.00391697528,0.0123607842,4,19,79|85|829|835
11,0.00394858383,0.0114823298,4,13,78|86|828|836
12,0.00396140377,0.010814763,4,7,106|118|796|808
13,0.00420404601,0.014777103,4,34,195|209|705|719
14,0.00430902077,0.0127659467,4,22,136|148|766|778
15,0.0043098323,0.0125328264,4,20,107|117|797|807
16,0.00441629758,0.0182024591,4,53,111|113|801|803
17,0.00457382154,0.0143244527,4,32,108|116|798|806
18,0.00467036693,0.0173029064,4,48,110|114|800|804
19,0.00470756892,0.0159257924,4,41,109|115|799|805
20,0.00473546711,0.0187562791,4,55,225|239|675|689
21,0.00475581026,0.0105198853,2,5,52|862
22,0.00484127684,0.0157071738,4,40,166|178|736|748
23,0.00495452308,0.0155630979,4,39,137|147|767|777
24,0.00550593023,0.018541039,4,54,138|146|768|776
25,0.00553706919,0.0251602826,4,81,255|269|645|659
26,0.00565865566,0.0201442952,4,61,196|208|706|718
27,0.00572302741,0.0254802158,4,82,141|143|771|773
28,0.00575252869,0.0137426041,2,28,82|832
29,0.0058797137,0.0213877492,4,67,139|145|769|775
30,0.00591011855,0.0201442952,4,61,167|177|737|747
31,0.00596919131,0.0237786993,4,76,140|144|770|774
32,0.00687757041,0.0251304404,4,81,168|176|738|746
33,0.00693129409,0.0368385719,4,114,285|299|615|629
34,0.00698921888,0.027429577,4,88,226|238|676|688
35,0.00714022099,0.018541039,2,54,112|802
36,0.00736823635,0.0276835073,4,89,197|207|707|717
37,0.00765542886,0.030216219,4,97,169|175|739|745
38,0.00780277667,0.0375221006,4,115,171|173|741|743
39,0.00798978047,0.0345357693,4,108,170|174|740|744
40,0.00914568856,0.0363312332,4,113,198|206|708|716
41,0.00916805371,0.0260740266,2,84,142|772
42,0.00925492237,0.040634605,4,122,256|268|646|658
43,0.00956078298,0.0616479309,4,158,315|329|585|599
44,0.00988773758,0.0405792627,4,122,227|237|677|687
45,0.01,0.0387520023,2,118,172|742
46,0.01,0.045533304,4,132,199|205|709|715
47,0.01,0.0535012812,4,146,200|204|710|714
48,0.01,0.0570660995,4,152,228|236|678|686
49,0.01,0.0594822234,4,155,201|203|711|713
50,0.01,0.0617156344,2,159,202|712
51,0.01,0.0664371824,4,165,257|267|647|657
52,0.01,0.0694128007,4,169,286|298|616|628
53,0.01,0.0752381692,4,176,229|235|679|685
54,0.01,0.0925727663,4,194,230|234|680|684
55,0.01,0.102448417,4,203,258|266|648|656
56,0.01,0.105320098,4,205,231|233|681|683
57,0.01,0.110286222,2,209,232|682
58,0.01,0.1301839,4,223,287|297|617|627
59,0.01,0.132308481,4,225,345|359|555|569
60,0.01,0.146751751,4,234,259|265|649|655
61,0.01,0.152065747,4,237,316|328|586|598
62,0.01,0.193483227,4,258,260|264|650|654
63,0.01,0.232639439,4,274,261|263|651|653
64,0.01,0.240264908,4,277,288|296|618|626
65,0.01,0.249286264,2,280,262|652
66,0.01,0.42315785,4,326,317|327|587|597
67,0.01,0.431337691,4,327,289|295|619|625
68,0.01,0.730232899,4,373,375|389|525|539
69,0.01,0.74633957,4,375,290|294|620|624
70,0.01,0.837177537,4,385,346|358|556|568
71,0.01,1.13508272,4,412,291|293|621|623
72,0.01,1.33987268,2,426,292|622
73,0.01,1.671681,4,445,318|326|588|596
74,0.01,4.20060317,4,525,319|325|589|595
75,0.01,4.98136855,4,540,347|357|557|567
76,0.01,5.93453497,4,555,320|324|590|594
77,0.01,6.87731172,4,568,321|323|591|593
78,0.01,7.20159534,2,572,322|592
79,0.01,8.08574404,4,582,376|388|526|538
80,0.01,8.57959393,4,587,348|356|558|566
81,0.01,10.1282552,4,602,405|419|495|509
82,0.01,10.6540261,4,606,349|355|559|565
83,0.01,11.7905962,4,615,350|354|560|564
