E_(0)(eV),Excitation modes,,,,,,,,,,,
,v_(2),,"v_(1,3)",,v_(3),,"v_(t,3)+v_(L)",,"2(v_(1,3))",,Others,
,sigma,gamma,sigma,gamma,sigma,gamma,sigma,gamma,sigma,gamma,sigma,gamma
1.7,0.017,0,0.068,0,0.002,0,0.005,0,0,0,0.001,0
3.2,0.017,0,0.048,0,0.004,0,0.011,0,0.006,0,0,0
5.2,0.026,0.45,0.058,0,0.005,0,0.015,0,0.005,0,0.02,0
7.2,0.043,0.6,0.13,0.44,0.005,0,0.022,0.2,0.014,0,0.002,0
9.2,0.037,0.7,0.12,0.5,0.005,0,0.017,0.3,0.021,0,0.078,0
11.2,0.025,0.78,0.069,0.5,0.003,0,0.004,0.3,0.009,0,0.068,0
13.2,0.035,0.9,0.065,0.5,0.002,0,0.004,0.3,0.006,0,0.141,0
15.2,0.039,0.95,0.065,0.55,0,0,0.002,0.3,0.004,0,0.235,0
17.2,0.037,0.96,0.054,0.6,0,0,0.001,0.35,0.003,0,0.32,0
20,0.027,0.98,0.036,0.6,0,0,0.001,0.35,0.002,0,0.345,0
22.5,0.026,0.98,0.029,0.6,0,0,0,0,0.001,0,0.413,0
25,0.024,0.99,0.022,0.6,0,0,0,0,0,0,0.464,0
27.5,0.024,0.99,0.018,0.52,0,0,0,0,0,0,0.506,0
30,0.024,0.99,0.016,0.5,0,0,0,0,0,0,0.537,0
32.5,0.025,0.99,0.016,0.63,0,0,0,0,0,0,0.595,0
35,0.025,0.99,0.015,0.55,0,0,0,0,0,0,0.634,0
37.5,0.026,1,0.015,0.45,0,0,0,0,0,0,0.67,0
40,0.026,1,0.015,0.52,0,0,0,0,0,0,0.686,0
42.5,0.026,1,0.014,0.52,0,0,0,0,0,0,0.709,0
45,0.025,1,0.015,0.67,0,0,0,0,0,0,0.73,0
47.5,0.025,1,0.016,0.67,0,0,0,0,0,0,0.732,0
50,0.023,1,0.016,0.75,0,0,0,0,0,0,0.71,0
52.5,0.024,1,0.017,0.78,0,0,0,0,0,0,0.757,0
55,0.024,1,0.017,0.8,0,0,0,0,0,0,0.775,0
57.5,0.023,1,0.017,0.81,0,0,0,0,0,0,0.767,0
60,0.024,1,0.017,0.83,0,0,0,0,0,0,0.784,0
62.5,0.024,1,0.018,0.84,0,0,0,0,0,0,0.814,0
65,0.024,1,0.018,0.86,0,0,0,0,0,0,0.826,0
67.5,0.024,1,0.017,0.86,0,0,0,0,0,0,0.814,0
70,0.026,1,0.019,0.87,0,0,0,0,0,0,0.915,0
72.5,0.027,1,0.02,0.88,0,0,0,0,0,0,0.993,0
75,0.028,1,0.021,0.9,0,0,0,0,0,0,1.019,0
77.5,0.028,1,0.021,0.91,0,0,0,0,0,0,1.051,0
80,0.029,1,0.021,0.92,0,0,0,0,0,0,1.129,0
85,0.028,1,0.021,0.92,0,0,0,0,0,0,1.122,0
90,0.027,1,0.019,0.93,0,0,0,0,0,0,1.04,0
100,0.026,1,0.018,0.95,0,0,0,0,0,0,1.031,0
