T(eV),lambda(nm)
54.6,0.986
60.3,0.967
66.7,0.956
73.7,0.954
81.5,0.958
90,0.969
99.5,0.986
109.9,1.01
121.5,1.04
134.3,1.07
148.4,1.12
164,1.17
181.3,1.22
200.3,1.28
221.4,1.35
244.7,1.43
270.4,1.52
298.9,1.61
330.3,1.72
365,1.84
403.4,1.96
445.9,2.1
492.7,2.26
544.6,2.42
601.8,2.6
665.1,2.8
735.1,3.02
812.4,3.26
897.8,3.51
992.3,3.79
1096.6,4.1
1212,4.43
1339.4,4.8
1480.3,5.19
1636,5.62
1808,6.09
1998.2,6.6
2208.3,7.16
2440.6,7.77
2697.3,8.43
2981,9.15
3294.5,9.93
3640.9,10.78
4023.9,11.71
4447.1,12.72
4914.8,13.83
5431.7,15.03
6002.9,16.33
6634.2,17.75
7332,19.3
8103.1,20.99
8955.3,22.82
9897.1,24.81
10938,26.97
12088.4,29.32
13359.7,31.87
14764.8,34.64
16317.6,37.65
18033.7,40.9
19930.4,44.42
22026.5,48.23
24343,52.35
26903.2,56.8
29732.6,61.6
